iter	Logloss
0	0.6917424926
1	0.6903910972
2	0.6890083689
3	0.6877033575
4	0.6864666906
5	0.685156128
6	0.6839623376
7	0.682785843
8	0.6815383613
9	0.6803060735
10	0.6791213267
11	0.6779874382
12	0.6768823092
13	0.6757698665
14	0.6746254097
15	0.6735742681
16	0.6725277393
17	0.6715757647
18	0.6705990508
19	0.6696551035
20	0.6687082109
21	0.6677359064
22	0.6667975082
23	0.665927755
24	0.6650680577
25	0.6641982786
26	0.6633600356
27	0.6624637894
28	0.6616174521
29	0.6608877269
30	0.6600957879
31	0.6593373314
32	0.6586164531
33	0.6578888688
34	0.6571267468
35	0.6564260037
36	0.6557363999
37	0.6550659041
38	0.6544155956
39	0.6537470093
40	0.6531028726
41	0.652444993
42	0.6518138444
43	0.6511588302
44	0.650574682
45	0.6499809797
46	0.6493966888
47	0.6488335538
48	0.64828664
49	0.6477378491
50	0.6472064362
51	0.6466682568
52	0.6461917678
53	0.6457150301
54	0.6452578028
55	0.6447858681
56	0.6443154882
57	0.6438675294
58	0.6433729682
59	0.642895571
60	0.6424512906
61	0.6420137163
62	0.6415858085
63	0.6411581191
64	0.6407747334
65	0.640368001
66	0.6399588877
67	0.6395580633
68	0.6391918459
69	0.6388186068
70	0.6384573588
71	0.6380957433
72	0.6377349949
73	0.6374023204
74	0.6370969024
75	0.6367785806
76	0.6364740125
77	0.6361902458
78	0.6358646622
79	0.635552722
80	0.6352858749
81	0.6350004149
82	0.6346920212
83	0.6344174603
84	0.6341606516
85	0.6339044355
86	0.6336229869
87	0.6333249583
88	0.6330764623
89	0.6328446308
90	0.6326071746
91	0.6323791923
92	0.6321163242
93	0.6318769585
94	0.631646206
95	0.6314027899
96	0.6311583357
97	0.6309433978
98	0.6307236764
99	0.6305082174
