iter	Passed	Remaining
0	228	22646
1	278	13667
2	321	10398
3	358	8595
4	394	7500
5	434	6811
6	468	6223
7	503	5794
8	540	5467
9	577	5195
10	609	4927
11	640	4699
12	672	4499
13	705	4331
14	735	4167
15	763	4010
16	791	3863
17	822	3746
18	853	3639
19	886	3547
20	917	3452
21	949	3365
22	979	3280
23	1012	3205
24	1042	3128
25	1075	3062
26	1107	2993
27	1137	2924
28	1170	2864
29	1202	2805
30	1235	2749
31	1268	2696
32	1302	2645
33	1330	2582
34	1363	2532
35	1394	2478
36	1424	2426
37	1455	2375
38	1490	2331
39	1526	2289
40	1561	2247
41	1595	2203
42	1627	2157
43	1659	2111
44	1698	2075
45	1731	2032
46	1756	1981
47	1788	1937
48	1818	1892
49	1848	1848
50	1877	1803
51	1909	1763
52	1937	1718
53	1967	1675
54	1998	1634
55	2028	1593
56	2061	1555
57	2097	1519
58	2131	1481
59	2164	1443
60	2196	1404
61	2229	1366
62	2260	1327
63	2292	1289
64	2322	1250
65	2358	1214
66	2385	1175
67	2416	1137
68	2448	1100
69	2484	1064
70	2516	1028
71	2548	990
72	2578	953
73	2608	916
74	2638	879
75	2667	842
76	2697	805
77	2728	769
78	2761	733
79	2790	697
80	2820	661
81	2851	625
82	2880	589
83	2910	554
84	2942	519
85	2972	483
86	3003	448
87	3032	413
88	3062	378
89	3091	343
90	3121	308
91	3151	274
92	3182	239
93	3212	205
94	3243	170
95	3272	136
96	3306	102
97	3338	68
98	3369	34
99	3399	0
