Player|url|flag|height|weight|age|hand|year_pro
Carballes Baena R.|https://www.tennisexplorer.com/player/carballes-baena/|Spain|183|77|31|right|2009
Darderi L.|https://www.tennisexplorer.com/player/darderi/|Italy|||22|right|2019
Oliveira G.|https://www.tennisexplorer.com/player/oliveira-43505/|Venezuela|185|79|29|left|2010
Bourgue M.|https://www.tennisexplorer.com/player/bourgue/|France|188|83|30|right|2010
Caruso S.|https://www.tennisexplorer.com/player/caruso-7cfdb/|Italy|185|80|31|right|2008
Lopez Montagud C.|https://www.tennisexplorer.com/player/lopez-montagud/|Spain|||24|right|2015
Mager G.|https://www.tennisexplorer.com/player/mager/|Italy|188|77|29|right|2010
Toledo Bague P.|https://www.tennisexplorer.com/player/toledo-bague/|Spain|178|72|29|right|2010
Rosol L.|https://www.tennisexplorer.com/player/rosol/|CzechRepublic|193|83|39|right|2002
Giannessi A.|https://www.tennisexplorer.com/player/giannessi/|Italy|185|82|34|left|2006
Gimeno Valero C.|https://www.tennisexplorer.com/player/gimeno-valero/|Spain|188|80|23|right|2016
Skatov T.|https://www.tennisexplorer.com/player/skatov/|Kazakhstan|173|73|23|right|2016
Nikles J.|https://www.tennisexplorer.com/player/nikles/|Switzerland|170|68|27|right|2013
Gaio F.|https://www.tennisexplorer.com/player/gaio/|Italy|180|84|32|right|2008
Martin Tiffon P.|https://www.tennisexplorer.com/player/martin-tiffon/|Spain|183|73|25|right|2016
Zekic M.|https://www.tennisexplorer.com/player/zekic/|Serbia|185|79|36|right|2003
Sanchez Izquierdo N.|https://www.tennisexplorer.com/player/sanchez-izquierdo-99add/|Spain|185|77|25|right|2015
Giustino L.|https://www.tennisexplorer.com/player/giustino-1d545/|Italy|180|83|32|right|2006
Ajdukovic D.|https://www.tennisexplorer.com/player/ajdukovic/|Croatia|185|75|23|right|2015
Damas M.|https://www.tennisexplorer.com/player/damas/|Spain|||24|right|2015
Barranco Cosano J.|https://www.tennisexplorer.com/player/barranco-cosano/|Spain|175|72|25|left|2014
Roca Batalla O.|https://www.tennisexplorer.com/player/roca-batalla/|Spain|173|75|31|right|2008
Bonadio R.|https://www.tennisexplorer.com/player/bonadio/|Italy|180|81|31|right|2009
Perchicot M.|https://www.tennisexplorer.com/player/perchicot/|France|185|85|31|right|2014
Blanch U.|https://www.tennisexplorer.com/player/blanch-d9f24/|USA|188|78|26|right|2014
Eysseric J.|https://www.tennisexplorer.com/player/eysseric/|France|180|80|34|left|2004
Peniston R.|https://www.tennisexplorer.com/player/peniston/|GreatBritain|183|75|28|left|2012
Marterer M.|https://www.tennisexplorer.com/player/marterer/|Germany|191|84|29|left|2011
Van Rijthoven T.|https://www.tennisexplorer.com/player/van-rijthoven/|Netherlands|188|89|27|right|2013
Kamke T.|https://www.tennisexplorer.com/player/kamke/|Germany|178|76|38|right|2003
Jianu F.|https://www.tennisexplorer.com/player/jianu-c67fb/|Romania|180|70|22|right|2016
Nardi L.|https://www.tennisexplorer.com/player/nardi-e2cda/|Italy|||21|right|2018
Escoffier A.|https://www.tennisexplorer.com/player/escoffier/|France|185|78|32|right|2008
Lenz J.|https://www.tennisexplorer.com/player/lenz-a4376/|Germany|188|82|31|right|2009
Moraing M.|https://www.tennisexplorer.com/player/moraing/|Germany|198|84|32|left|2008
Guinard M.|https://www.tennisexplorer.com/player/guinard/|France|196|81|28|right|2013
Brouwer G.|https://www.tennisexplorer.com/player/brouwer-44152/|Netherlands|191|72|28|left|2013
Ficovich J.|https://www.tennisexplorer.com/player/ficovich/|Argentina|191|78|27|right|2013
Whitehouse M.|https://www.tennisexplorer.com/player/whitehouse-171ae/|GreatBritain|188|80|31|right|2010
Rodriguez Rodriguez J.|https://www.tennisexplorer.com/player/rodriguez-rodriguez-ad3a3/|Colombia|||20|right|2019
Kuzuhara B.|https://www.tennisexplorer.com/player/kuzuhara/|USA|||20|right|2021
Baquero D.|https://www.tennisexplorer.com/player/baquero/|DominicanRep.||||right|2021
Sekulic P.|https://www.tennisexplorer.com/player/sekulic-13abc/|Australia|||20|right|2018
Niki T.|https://www.tennisexplorer.com/player/niki/|Japan|183|73|36|right|2005
Walkin B.|https://www.tennisexplorer.com/player/walkin/|GreatBritain|188|85|29|right|2013
Vanshelboim E.|https://www.tennisexplorer.com/player/vanshelboim/|Ukraine|188|86|23|right|2018
Folliot Q.|https://www.tennisexplorer.com/player/folliot/|France|||25|right|2015
Pichler D.|https://www.tennisexplorer.com/player/pichler-fd7ab/|Austria|178|70|28|right|2013
Saitoh K.|https://www.tennisexplorer.com/player/saitoh/|Japan|163|68|23|left|2019
Romios M.|https://www.tennisexplorer.com/player/romios/|Australia|183|73|25|right|2014
Crawford O.|https://www.tennisexplorer.com/player/crawford-71058/|GreatBritain|180|84|25|right|2016
Munoz E.|https://www.tennisexplorer.com/player/munoz-1a9fc/|DominicanRep.|||19|right|2019
Angele J.|https://www.tennisexplorer.com/player/angele/|France|206|93|24|right|2015
Langmo C.|https://www.tennisexplorer.com/player/langmo/|USA|191|84|28|right|2013
Jasika O.|https://www.tennisexplorer.com/player/jasika/|Australia|183|60|27|left|2011
Bataljin L.|https://www.tennisexplorer.com/player/bataljin/|Australia|168|53|28|right|2011
Tokuda R.|https://www.tennisexplorer.com/player/tokuda-f9c9a/|Japan|178|69|26|right|2013
Addison A.|https://www.tennisexplorer.com/player/addison-a190e/|Australia|191|82|28|right|2012
Guerrieri A.|https://www.tennisexplorer.com/player/guerrieri/|Italy|||25|left|2015
Bosio G.|https://www.tennisexplorer.com/player/bosio-f82d1/|Italy|||23|right|2016
Tabacco G.|https://www.tennisexplorer.com/player/tabacco-3fc98/|Italy|||21|right|2018
Rottoli L.|https://www.tennisexplorer.com/player/rottoli/|Italy|||22|right|2016
Tabur C.|https://www.tennisexplorer.com/player/tabur/|France|170|70|24|right|2015
Ehrat S.|https://www.tennisexplorer.com/player/ehrat/|Switzerland|180|72|33|right|2007
Deckers A.|https://www.tennisexplorer.com/player/deckers/|Netherlands|193|82|24|right|2017
Ochi M.|https://www.tennisexplorer.com/player/ochi-91d1b/|Japan|175|65|28|left|2014
Shimizu Y.|https://www.tennisexplorer.com/player/shimizu-38ca9/|Japan|163|62|25|left|2015
Rocha H.|https://www.tennisexplorer.com/player/rocha-0492a/|Portugal|||20|right|2020
Sharipov M.|https://www.tennisexplorer.com/player/sharipov-a3d0a/|Russia|||21|right|2019
Khabibulin T.|https://www.tennisexplorer.com/player/khabibulin/|Kazakhstan|185|83|29|right|2009
Palan D.|https://www.tennisexplorer.com/player/palan/|CzechRepublic|||23|right|2018
Bondarevskiy Y.|https://www.tennisexplorer.com/player/bondarevskiy/|Russia|191|71|24|left|2015
Dembek M.|https://www.tennisexplorer.com/player/dembek/|Poland|196|93|27|right|2014
Aitkulov A.|https://www.tennisexplorer.com/player/aitkulov/|Kazakhstan|||20|right|2021
Medjedovic H.|https://www.tennisexplorer.com/player/medjedovic/|Serbia|||21|right|2019
Lomakin G.|https://www.tennisexplorer.com/player/lomakin-0fb5e/|Kazakhstan|198|78|26|right|2013
Kivattsev K.|https://www.tennisexplorer.com/player/kivattsev/|Russia|193|80|26|right|2015
Bobrov B.|https://www.tennisexplorer.com/player/bobrov/|Russia|185|74|26|right|2012
Jorda Sanchis D.|https://www.tennisexplorer.com/player/jorda-sanchis/|Spain|196|86|30|right|2009
Mertens Y.|https://www.tennisexplorer.com/player/mertens/|Belgium|188|72|37|right|2004
Cox D.|https://www.tennisexplorer.com/player/cox-75b8b/|GreatBritain|170|72|33|right|2005
Rodenas P.|https://www.tennisexplorer.com/player/rodenas/|Spain|||20|left|2020
Manzanera Pertusa A.|https://www.tennisexplorer.com/player/manzanera-pertusa/|Spain|||21|right|2020
Blanch D.|https://www.tennisexplorer.com/player/blanch-5d667/|USA|||21|right|2020
Riedi L.|https://www.tennisexplorer.com/player/riedi-a3a3d/|Switzerland|||22|right|2020
Barreto Sanchez D.|https://www.tennisexplorer.com/player/barreto-sanchez/|Spain|||22|left|2018
Wallart E.|https://www.tennisexplorer.com/player/wallart/|France|||27|right|2013
Winter Lopez B.|https://www.tennisexplorer.com/player/winter-lopez/|Spain|||26|right|2016
Cretu C.|https://www.tennisexplorer.com/player/cretu-93488/|Romania|||23|right|2016
Zima L.|https://www.tennisexplorer.com/player/zima-712b7/|Germany|||24|right|2015
Gill F.|https://www.tennisexplorer.com/player/gill-59a09/|GreatBritain|||22|left|2018
Niedner N.|https://www.tennisexplorer.com/player/niedner/|Germany||||right|2020
Kirci K.|https://www.tennisexplorer.com/player/kirci/|Turkey|||25|right|2013
Klok D.|https://www.tennisexplorer.com/player/klok/|Russia|180|82|26|right|2013
Manda C.|https://www.tennisexplorer.com/player/manda/|Romania|||26|right|2012
Mochizuki Y.|https://www.tennisexplorer.com/player/mochizuki-7f854/|Japan|173|60|26|right|2016
Pujol Navarro B.|https://www.tennisexplorer.com/player/pujol-navarro/|Spain|||22|left|2017
Rabinad Vila K.|https://www.tennisexplorer.com/player/rabinad-vila/|Spain|||19|right|2021
Moreno A.|https://www.tennisexplorer.com/player/moreno-9a92e/|Mexico|||34|right|2007
Nortey I.|https://www.tennisexplorer.com/player/nortey-0c11d/|Ghana|||25|right|2016
Becroft I.|https://www.tennisexplorer.com/player/becroft/|NewZealand|||23|right|2018
Steiglehner N.|https://www.tennisexplorer.com/player/steiglehner/|USA|||20|right|2021
Swenson B.|https://www.tennisexplorer.com/player/swenson/|USA|||20|right|2021
Bigun M.|https://www.tennisexplorer.com/player/bigun-8898b/|USA|||18|right|2021
Bangoura S.|https://www.tennisexplorer.com/player/bangoura/|USA|183|77|32|right|2008
Sysoev N.|https://www.tennisexplorer.com/player/sysoev-d4153/|Russia||||right|2019
Adam N.|https://www.tennisexplorer.com/player/adam-0d577/|Sudan|||29|right|2010
Boulier Santelices L.|https://www.tennisexplorer.com/player/boulier-santelices/|Chile||||right|2022
Barreiros Reyes M.|https://www.tennisexplorer.com/player/barreiros-reyes/|Brazil|||23|left|2017
Rivera H.|https://www.tennisexplorer.com/player/rivera-eb124/|USA||||right|2020
Nidunjianzan T.|https://www.tennisexplorer.com/player/nidunjianzan-dc123/|USA|||23|right|2021
Frusina A.|https://www.tennisexplorer.com/player/frusina/|USA|||18|right|2022
Segura M.|https://www.tennisexplorer.com/player/segura-e09a8/|USA|||23|right|2016
Arredondo Delgado S.|https://www.tennisexplorer.com/player/arredondo-delgado/|Mexico||||right|2021
Vukadin N.|https://www.tennisexplorer.com/player/vukadin-763a8/|Croatia|||20|right|2021
Snitari I.|https://www.tennisexplorer.com/player/snitari/|Moldavsko|||22|right|2020
Ban I.|https://www.tennisexplorer.com/player/ban-fda67/|Croatia||||right|2019
Krstic V.|https://www.tennisexplorer.com/player/krstic/|Serbia|||21|right|2021
Bol J.|https://www.tennisexplorer.com/player/bol/|Netherlands|||22|right|2021
Rozenberg T.|https://www.tennisexplorer.com/player/rozenberg-11418/|Netherlands|||21|right|2021
Van Zijl T.|https://www.tennisexplorer.com/player/van-zijl/|Netherlands|||21|right|2021
Stuurman R.|https://www.tennisexplorer.com/player/stuurman/|Netherlands|||25|right|2017
Galik M.|https://www.tennisexplorer.com/player/galik-1b5fc/|Slovakia||||right|2020
Fekete J.|https://www.tennisexplorer.com/player/fekete-1b5b9/|Slovakia|||23|right|2019
Wassermann M.|https://www.tennisexplorer.com/player/wassermann-1c33c/|Netherlands||||right|2021
Hodzic A.|https://www.tennisexplorer.com/player/hodzic-d9910/|Germany|||22|right|2021
