Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
indoors|Djokovic N.|SRB|Right-Handed|1.64|Alcaraz C.|ESP|Right-Handed|2.27|0.0|15.0|-1630.0|8.0|2.0
indoors|Mayot H.|FRA|Right-Handed|1.64|Sachko V.|UKR|Right-Handed|2.27|0.0|-4.0|135.0|3.0|-5.0
indoors|Muller A.|FRA|Right-Handed|1.64|Hemery C.|FRA|Right-Handed|2.27|0.0|0.0|290.0|-8.0|-8.0
indoors|Sinner J.|ITA|Right-Handed|1.64|Medvedev D.|RUS|Right-Handed|2.27|0.0|-4.0|-2545.0|-7.0|-10.0
indoors|Bergs Z.|BEL|Right-Handed|1.22|Vrbensky M.|CZE|Right-Handed|4.04|0.0|2.0|187.0|18.0|5.0
indoors|Lestienne C.|FRA|Right-Handed|1.64|Shevchenko A.|KAZ|Right-Handed|2.27|0.0|8.0|-58.0|7.0|-5.0
indoors|Guinard M.|FRA|Right-Handed|1.64|Bedene A.|SVN|Right-Handed|2.27|0.0|-7.0|256.0|8.0|13.0
indoors|Mansouri S.|TUN|Right-Handed|1.64|Haase R.|NLD|Right-Handed|2.27|0.0|-6.0|-24.0|9.0|2.0
indoors|Grenier H.|FRA|Right-Handed|1.64|Halys Q.|FRA|Right-Handed|2.27|0.0|-2.0|-223.0|7.0|5.0
indoors|Sijsling I.|NLD|Right-Handed|1.64|Horansky F.|SVK|Right-Handed|2.27|0.0|5.0|162.0|8.0|0.0
indoors|Bourgue M.|FRA|Right-Handed|1.64|Napolitano S.|ITA|Right-Handed|2.27|0.0|0.0|297.0|-7.0|-8.0
