Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Winston Salem|1.41|2.87|Goffin D.|Belgium|2006|70.0|180.0|right|33.0|Hijikata R.|Australia|2016|68.0|178.0|right|23.0|hard|20240822
Winston Salem|1.79|2.00|Sonego L.|Italy|2013|76.0|191.0|right|29.0|Kotov P.|Russia|2015|86.0|191.0|right|25.0|hard|20240822
Winston Salem|1.45|2.72|Carreno-Busta P.|Spain|2006|78.0|188.0|right|33.0|Vukic A.|Australia|2012|84.0|188.0|right|28.0|hard|20240822
Winston Salem|1.45|2.70|Michelsen A.|USA|2021|||right|19.0|Bergs Z.|Belgium|2014|83.0|185.0|right|25.0|hard|20240822
Winston Salem|2.83|1.42|Eubanks C.|USA|2012|82.0|201.0|right|28.0|Safiullin R.|Russia|2013|75.0|185.0|right|27.0|hard|20240822
Winston Salem|1.98|1.81|Tien L.|USA|2021|||left|18.0|Seyboth Wild T.|Brazil|2014|78.0|185.0|right|24.0|hard|20240822
Jinan challenger|1.45|2.65|Noguchi R.|Japan|2016|63.0|168.0|right|25.0|Shin W.|SouthKorea|2018|||right|20.0|hard|20240822
Jinan challenger|1.56|2.36|Smith K.|USA|2016|93.0|198.0|right|26.0|Mo Y.|China|2016|||right|24.0|hard|20240822
Jinan challenger|1.20|4.36|Wu Y.|China|2015|80.0|183.0|right|24.0|Sun F.|China|2014|75.0|178.0|right|27.0|hard|20240822
Jinan challenger|1.62|2.21|Shimizu Y.|Japan|2015|62.0|163.0|left|25.0|Henning P.|RSA|2016|||right|23.0|hard|20240822
Dobrich challenger|1.67|2.13|Gakhov I.|Russia|2011|80.0|191.0|left|27.0|Nesterov P.|Bulgaria|2019|||right|21.0|clay|20240822
Dobrich challenger|1.57|2.31|Habib H.|Lebanon|2013|85.0|188.0|right|26.0|Ambrogi L.|Argentina|2019|||right|20.0|clay|20240822
Dobrich challenger|1.44|2.65|Torres J.|Argentina|2019|||right|22.0|Kirkin E.|Turkey|2014|73.0|180.0|right|25.0|clay|20240822
Dobrich challenger|1.29|3.46|Gea A.|France|2021|72.0|180.0|right|19.0|Negritu C.|Germany|2010|81.0|193.0|right|30.0|clay|20240822
Dobrich challenger|1.25|3.71|Dutra da Silva D.|Brazil|2003|||left|36.0|Rodrigues N.|Brazil|2018|||right|22.0|clay|20240822
Dobrich challenger|1.06|8.25|Prado Angelo J.|Bolivia|2021|||right|19.0|Tumasonis G.|Brazil|2012|||left|28.0|clay|20240822
Dobrich challenger|1.47|2.49|Leite W.|Brazil|2008|72.0|178.0|right|32.0|Tosetto R.|Brazil|2015|||right|25.0|clay|20240822
Dobrich challenger|1.02|10.30|Ficovich J.|Argentina|2013|78.0|191.0|right|27.0|Price Pelaez S.|Colombia|2021|||right|19.0|clay|20240822
Dobrich challenger|1.21|3.88|Pereira J.|Brazil|2005|74.0|180.0|right|33.0|Yamacita F.|Brazil|2012|78.0|185.0|right|26.0|clay|20240822
Dobrich challenger|1.13|5.00|Bertola R.|Switzerland|2014|||right|25.0|Buldorini P.|Italy|2022|||right|20.0|clay|20240822
Dobrich challenger|1.11|5.49|Olivo R.|Argentina|2007|73.0|180.0|right|32.0|Mbithi M.|USA|2013|75.0|200.0|right|26.0|clay|20240822
Dobrich challenger|1.23|3.73|Justo G.|Argentina|2017|||right|26.0|Vilicich B.|Argentina|2019|||right||clay|20240822
Dobrich challenger|1.11|5.61|Bertran P.|DominicanRep.|2013|||right|28.0|Li C.|Peru|2018|||right|21.0|clay|20240822
Dobrich challenger|1.10|6.01|Handel T.|Germany|2013|||right|27.0|Plunger M.|Italy|2022|||right|22.0|clay|20240822
Dobrich challenger|1.07|6.90|Farjat T.|Argentina|2017|||right|23.0|Valente R.|Argentina|2022|||right|20.0|clay|20240822
Dobrich challenger|1.07|7.21|Cid Subervi R.|DominicanRep.|2010|82.0|193.0|right|30.0|Castaneda M.|Colombia|2021|||right||clay|20240822
Dobrich challenger|1.05|8.09|Soto M.|Chile|2016|||right|25.0|Rodriguez S.|Peru|2016|||right|22.0|clay|20240822
Dobrich challenger|4.45|1.16|Ortenzi G.|Italy|2017|||right|24.0|Fonio G.|Italy|2014|80.0|183.0|right|26.0|clay|20240822
Dobrich challenger|1.56|2.27|Lock B.|Zimbabwe|2008|86.0|198.0|right|31.0|Rodriguez Rodriguez J.|Colombia|2019|||right|20.0|clay|20240822
Dobrich challenger|1.09|6.10|Bourgue M.|France|2010|83.0|188.0|right|30.0|Catini N.|Italy|2016|||right|26.0|clay|20240822
Dobrich challenger|1.18|4.23|Pieczkowski O.|Poland|2020|||right|20.0|Szajrych J.|Poland|2020|||right|22.0|clay|20240822
Dobrich challenger|1.09|6.37|Picchione A.|Italy|2017|||right|26.0|Ciavarella N.|Italy|2021|||right|20.0|clay|20240822
Dobrich challenger|1.07|6.92|Dedura-Palomero D.|Germany|2023|||left|16.0|Ben Abdennibi S.|Switzerland|2016|||right|23.0|clay|20240822
Dobrich challenger|1.55|2.28|Dellavedova M.|Australia|2015|81.0|191.0|right|24.0|Perfetti N.|Italy|2018|||right|23.0|clay|20240822
Dobrich challenger|1.87|1.81|Brunold M.|Switzerland|2020|||right|19.0|Weis A.|Italy|2014|83.0|188.0|right|27.0|clay|20240822
