Location|pl1_bet|pl2_bet|Winner|pl1_flag|pl1_year_pro|pl1_weight|pl1_height|pl1_hand|pl1_age|Loser|pl2_flag|pl2_year_pro|pl2_weight|pl2_height|pl2_hand|pl2_age|Surface|Date
Geneva|1.41|2.91|Koepfer D.|Germany|2010|79.0|180.0|left|30.0|Paire B.|France|2007|80.0|196.0|right|35.0|clay|20210517
Geneva|1.39|2.98|Andujar P.|Spain|2002|80.0|180.0|right|38.0|Thompson J.|Australia|2010|82.0|183.0|right|30.0|clay|20210517
Geneva|2.39|1.58|Sandgren T.|USA|2008|88.0|188.0|right|33.0|Caruso S.|Italy|2008|80.0|185.0|right|31.0|clay|20210517
Geneva|2.05|1.77|Cazaux A.|France|2019|||right|21.0|Mannarino A.|France|2004|79.0|180.0|left|36.0|clay|20210517
Lyon|1.72|2.11|Korda S.|USA|2015|75.0|193.0|right|24.0|Herbert P.|France|2006|75.0|188.0|right|33.0|clay|20210517
Lyon|2.63|1.48|Nishioka Y.|Japan|2011|64.0|170.0|left|28.0|Humbert U.|France|2014|73.0|188.0|left|26.0|clay|20210517
Lyon|1.74|2.09|Norrie C.|GreatBritain|2013|82.0|188.0|left|28.0|Moutet C.|France|2014|68.0|175.0|left|25.0|clay|20210517
Lyon|1.62|2.28|Bedene A.|Slovenia|2006|73.0|183.0|right|35.0|Simon G.|France|2002|70.0|183.0|right|39.0|clay|20210517
Oeiras 3 challenger|1.06|9.08|Alcaraz C.|Spain|2018|72.0|185.0|right|21.0|Uchiyama Y.|Japan|2007|78.0|183.0|right|32.0|clay|20210517
Oeiras 3 challenger|2.47|1.50|Nakashima B.|USA|2016|77.0|185.0|right|23.0|Hanfmann Y.|Germany|2007|86.0|193.0|right|32.0|clay|20210517
Oeiras 3 challenger|1.77|1.98|Bagnis F.|Argentina|2005|82.0|183.0|left|34.0|Taberner C.|Spain|2013|78.0|183.0|right|27.0|clay|20210517
