Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight
hard|Kyrgios N.|AUS|Right-Handed|1.18|Delbonis F.|ARG|Left-Handed|4.96|0.0|-5.0|-889.0|-5.0|0.0
hard|Kecmanovic M.|SRB|Right-Handed|2.3|Cilic M.|HRV|Right-Handed|1.62|0.0|-9.0|-864.0|-14.0|-15.0
clay|Copil M.|ROU|Right-Handed|1.67|Vatutin A.|RUS|Right-Handed|2.07|0.0|4.0|416.0|18.0|15.0
hard|Schwartzman D.|ARG|Right-Handed|1.64|Ruusuvuori E.|FIN|Right-Handed|2.26|0.0|6.0|1784.0|-15.0|-18.0
hard|Sinner J.|ITA|Right-Handed|1.1|Djere L.|SRB|Right-Handed|7.37|0.0|-4.0|2454.0|-6.0|0.0
hard|Basilashvili N.|GEO|Right-Handed|1.88|Fognini F.|ITA|Right-Handed|1.91|0.0|-5.0|762.0|0.0|7.0
clay|Gimeno Valero C.|ESP|Right-Handed|1.03|Madaras D.|SWE|Left-Handed|1.95|0.0|-1.0|-43.0|-5.0|-3.0
hard|Shapovalov D.|CAN|Left-Handed|1.41|Davidovich Fokina A.|ESP|Right-Handed|2.91|0.0|1.0|1905.0|-5.0|2.0
hard|Bonzi B.|FRA|Right-Handed|1.93|Sonego L.|ITA|Right-Handed|1.87|0.0|0.0|-1028.0|0.0|-6.0
clay|Barrientos N.|COL|Right-Handed|1.8|Quiroz R.|ECU|Left-Handed|1.89|0.0|3.0|-10.0|-13.0|-18.0
hard|Rublev A.|RUS|Right-Handed|1.07|Koepfer D.|DEU|Left-Handed|9.08|0.0|-3.0|3536.0|-9.0|8.0
clay|Dellien H.|BOL|Right-Handed|2.58|Tabilo A.|CHL|Left-Handed|1.47|0.0|6.0|65.0|0.0|-8.0
hard|Hurkacz H.|POL|Right-Handed|1.22|Otte O.|DEU|Right-Handed|4.33|0.0|-4.0|2650.0|2.0|3.0
clay|Taberner C.|ESP|Right-Handed|1.64|Borges N.|PRT|Right-Handed|2.18|0.0|-1.0|475.0|3.0|-2.0
