Surface|pl1|pl1_flag|pl1_hand|pl2|pl2_flag|pl2_hand|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
Varioussurfaces|Bladelius H.|SWE|Right-Handed|Dhamne M.|IND|Right-Handed|1.0||65.0|1.0|0.0|4.0|-1.12
Varioussurfaces|Haviland R.|ITA|Right-Handed|Hashimoto H.|FRA|Right-Handed|1.0||65.0|4.0|3.0|22.0|-1.12
grass|Searle H.|FRA|Left-Handed|Kudla D.|ITA|Right-Handed|0.0|-14.0|-65.0|-1.0|5.0|-14.0|0.6400000000000001
clay|Roca Batalla O.|ESP|Right-Handed|Landaluce M.|ESP|Right-Handed|1.0||128.0|-3.0|-12.0|13.0|-0.1499999999999999
clay|de Schepper K.|FRA|Left-Handed|Perot R.|FRA|Right-Handed|1.0||65.0|22.0|18.0|14.0|-0.010000000000000009
clay|Mukhtarulin A.|UKR|Right-Handed|Sroka M.|POL|Right-Handed|1.0||65.0|1.0|0.0|-2.0|-0.1499999999999999
Varioussurfaces|Han X.|CHN|Right-Handed|Jansen W.|FRA|Left-Handed|1.0||65.0|1.0|0.0|-1.0|3.6100000000000003
Varioussurfaces|Ludoski Z.|SRB|Right-Handed|Deari S.|FRA|Right-Handed|1.0||65.0|1.0|0.0|-16.0|-1.39
Varioussurfaces|Park J.|KOR|Right-Handed|Park M.|KOR|Right-Handed|1.0||65.0|1.0|0.0|0.0|2.8400000000000003
clay|Trochu P.|FRA|Right-Handed|Blancaneaux G.|FRA|Right-Handed|1.0||39.0|4.0|5.0|-6.0|9.0
Varioussurfaces|Mihailovic A.|SRB|Right-Handed|Mishkin K.|RUS|Left-Handed|1.0||65.0|1.0|0.0|1.0|0.11999999999999988
clay|Perego G.|ITA|Right-Handed|Potenza L.|ITA|Right-Handed|1.0||65.0|1.0|0.0|-3.0|2.14
clay|Ribecai M.|ITA|Right-Handed|Caruso A.|ITA|Right-Handed|0.0|-4.0|-65.0|-1.0|0.0|-4.0|-5.54
clay|Iaquinto A.|ITA|Right-Handed|Pannu K.|NZL|Right-Handed|1.0||389.0|1.0|0.0|-4.0|6.07
Varioussurfaces|Sheldon M.|ITA|Right-Handed|Visser A.|FRA|Right-Handed|1.0||65.0|1.0|0.0|-2.0|-0.27
clay|Halys Q.|FRA|Right-Handed|Lamasine T.|FRA|Right-Handed|0.0|-1.0|537.0|9.0|8.0|-4.0|-3.19
Varioussurfaces|Dinev D.|BGR|Right-Handed|Petrovic L.|ITA|Right-Handed|0.0|-3.0|-65.0|-1.0|0.0|-1.0|-0.9600000000000002
clay|Sach T.|AUS|Right-Handed|Alam P.|FRA|Right-Handed|1.0||65.0|1.0|0.0|-1.0|-0.1499999999999999
Varioussurfaces|Colby R.|FRA|Right-Handed|Alonso J.|ESP|Right-Handed|0.0|1.0|-65.0|-1.0|0.0|0.0|-3.13
clay|Dodig M.|HRV|Right-Handed|Gima S.|ROU|Left-Handed|1.0||65.0|1.0|0.0|-3.0|-1.52
clay|Pieczkowski O.|POL|Right-Handed|Holmgren A.|DNK|Right-Handed|1.0||408.0|1.0|0.0|-6.0|1.86
Varioussurfaces|Jayaraman S.|ITA|Right-Handed|Kozlov B.|FRA|Right-Handed|1.0||65.0|0.0|0.0|-1.0|1.11
clay|Potenza L.|ITA|Right-Handed|Perego G.|ITA|Right-Handed|0.0|3.0|-65.0|-1.0|0.0|3.0|-2.14
clay|Zanellato N.|BRA|Right-Handed|Lingua Lavallen A.|ARG|Left-Handed|1.0||65.0|1.0|0.0|-1.0|1.91
clay|Trinker J.|AUT|Right-Handed|Grevelius E.|SWE|Right-Handed|0.0|7.0|-65.0|-1.0|0.0|5.0|0.5599999999999998
clay|Boscardin Dias P.|BRA|Right-Handed|Aboian V.|ARG|Left-Handed|0.0|0.0|-65.0|-6.0|-5.0|-1.0|0.5899999999999999
Varioussurfaces|Alonso J.|ESP|Right-Handed|Colby R.|FRA|Right-Handed|1.0||65.0|1.0|0.0|0.0|3.13
Varioussurfaces|Alkotop M.|JOR|Right-Handed|Osmont G.|FRA|Right-Handed|0.0|-2.0|-65.0|-1.0|0.0|-4.0|-4.9
grass|Rinderknech A.|FRA|Right-Handed|Michelsen A.|ITA|Right-Handed|0.0|10.0|380.0|7.0|11.0|10.0|0.8800000000000001
Varioussurfaces|Suresh Kumar D.|MYS|Right-Handed|Alhogbani S.|SAU|Right-Handed|1.0||65.0|1.0|0.0|2.0|4.9
clay|Luis T.|PRT|Right-Handed|Goncalves Ceolin J.|BRA|Right-Handed|0.0|-4.0|-65.0|-1.0|0.0|-3.0|-1.13
Varioussurfaces|Hadigian E.|ITA|Right-Handed|Mbithi M.|FRA|Right-Handed|1.0||65.0|4.0|-15.0|-2.0|-1.12
clay|Faria J.|PRT|Right-Handed|Mikrut L.|HRV|Right-Handed|1.0||65.0|1.0|0.0|1.0|-2.43
clay|Bertola R.|CHE|Right-Handed|Reymond A.|FRA|Left-Handed|0.0|0.0|-65.0|5.0|5.0|0.0|-2.84
clay|Basilashvili N.|GEO|Right-Handed|Ritschard A.|CHE|Right-Handed|0.0|2.0|124.0|-3.0|-8.0|2.0|0.6999999999999997
clay|Vesely J.|CZE|Left-Handed|Cachin P.|ARG|Right-Handed|1.0||-835.0|17.0|13.0|2.0|1.52
grass|Nava E.|FRA|Right-Handed|Riedi L.|CHE|Right-Handed|0.0|4.0|-207.0|-5.0|-2.0|0.0|1.4600000000000002
Varioussurfaces|Torrealba B.|CHL|Right-Handed|Gundacker J.|AUT|Right-Handed|1.0||65.0|1.0|0.0|-2.0|2.35
clay|Williams C.|ITA|Right-Handed|Faurel T.|FRA|Right-Handed|1.0||65.0|1.0|0.0|1.0|-1.7699999999999998
grass|Bolt A.|AUS|Left-Handed|Choinski J.|ITA|Right-Handed|0.0|3.0|-262.0|4.0|-13.0|3.0|-1.1600000000000001
clay|Boyer T.|ITA|Right-Handed|Janvier M.|FRA|Right-Handed|1.0||154.0|-1.0|-8.0|-4.0|-0.32000000000000006
clay|Lokoli L.|FRA|Right-Handed|Donald M.|CZE|Right-Handed|0.0|10.0|-134.0|-1.0|3.0|10.0|-5.09
Varioussurfaces|Guerrero Melgar A.|ESP|Right-Handed|Bennani K.|MAR|Right-Handed|1.0||65.0|1.0|0.0|4.0|2.35
clay|Olivieri G.|ARG|Right-Handed|Rocha H.|PRT|Right-Handed|1.0||204.0|-5.0|-10.0|6.0|0.9600000000000002
Varioussurfaces|Pade C.|AUS|Right-Handed|Okamura I.|JPN|Right-Handed|1.0||65.0|11.0|15.0|-13.0|2.0
grass|Broom C.|FRA|Right-Handed|Mochizuki S.|JPN|Right-Handed|0.0|3.0|55.0|3.0|-7.0|5.0|1.2400000000000002
clay|Gerch L.|DEU|Left-Handed|Pape V.|DNK|Right-Handed|0.0|10.0|-65.0|7.0|8.0|6.0|-6.16
Varioussurfaces|Maxted L.|FRA|Right-Handed|Bowers T.|ITA|Right-Handed|0.0|-2.0|-65.0|-1.0|0.0|-1.0|3.2799999999999994
clay|Oliel Y.|ISR|Left-Handed|Fabre A.|FRA|Right-Handed|0.0|6.0|-308.0|-1.0|3.0|1.0|-5.779999999999999
