Surface|pl1|pl1_flag|pl1_hand|pl1_bet|pl2|pl2_flag|pl2_hand|pl2_bet|Result|DiffProffTime|DiffPts|DiffWeight|DiffHeight|DiffAge|DiffBet
Varioussurfaces|Labuckas M.|ARG|Right-Handed|1.83|Russo S.|ARG|Right-Handed|1.83|0.0|-10.0|-14.5|0.0|0.0|-8.0|0.0
hard|Wong C.|HKG|Right-Handed|1.22|Samrej K.|THA|Right-Handed|3.95|0.0|-2.0|-14.5|0.0|0.0|-3.0|-2.7300000000000004
hard|Bergs Z.|BEL|Right-Handed|1.44|Hanfmann Y.|DEU|Right-Handed|2.63|0.0|-7.0|-594.0|-3.0|-8.0|-7.0|-1.19
hard|Stuurman R.|NLD|Right-Handed|3.68|Moroni F.|ITA|Right-Handed|1.2|1.0||14.5|0.0|0.0|2.0|2.4800000000000004
hard|Weis A.|ITA|Right-Handed|1.58|Guerrieri A.|ITA|Left-Handed|2.23|1.0||14.5|5.0|5.0|2.0|-0.6499999999999999
hard|Michalik R.|SVK|Right-Handed|1.2|Cherie Ligniere E.|ITA|Right-Handed|3.68|0.0|2.0|-14.5|0.0|0.0|1.0|-2.4800000000000004
hard|Grevelius E.|SWE|Right-Handed|3.17|Vasa E.|FIN|Right-Handed|1.3|1.0||14.5|-1.0|-5.0|-3.0|1.8699999999999999
hard|Bakshi A.|GEO|Left-Handed|4.14|Wu T.|ITA|Right-Handed|1.2|1.0||14.5|-3.0|-5.0|1.0|2.9399999999999995
clay|Leite W.|BRA|Right-Handed|5.21|Collarini A.|ARG|Left-Handed|1.13|1.0||37.5|-8.0|-7.0|0.0|4.08
hard|Samrej K.|THA|Right-Handed|3.95|Wong C.|HKG|Right-Handed|1.22|1.0||14.5|0.0|0.0|3.0|2.7300000000000004
clay|Klizan M.|SVK|Left-Handed|2.44|Kovalik J.|SVK|Right-Handed|1.51|1.0||77.0|3.0|8.0|4.0|0.9299999999999999
indoors|Lajal M.|EST|Right-Handed|1.72|Martineau M.|FRA|Right-Handed|2.04|0.0|-7.0|-14.5|2.0|0.0|-4.0|-0.32000000000000006
hard|Breazu M.|ROU|Right-Handed|6.8|Radu C.|ROU|Right-Handed|1.06|1.0||14.5|0.0|0.0|-2.0|5.74
hard|Gutierrez O.|BRA|Right-Handed|1.59|Atlangeriev B.|RUS|Right-Handed|2.16|0.0|8.0|-14.5|-11.0|-13.0|8.0|-0.5700000000000001
hard|Serafini M.|ITA|Right-Handed|1.23|Bilardo J.|ITA|Right-Handed|3.67|1.0||14.5|0.0|0.0|2.0|-2.44
hard|Inoue J.|JPN|Right-Handed|5.7|Pieleanu R.|ROU|Right-Handed|1.1|1.0||14.5|0.0|0.0|3.0|4.6
hard|Caniato C.|ITA|Right-Handed|1.42|Battiston A.|ITA|Right-Handed|2.64|0.0|1.0|-14.5|0.0|0.0|-5.0|-1.2200000000000002
hard|Opitz J.|DEU|Left-Handed|1.9|Catry R.|FRA|Right-Handed|1.7|1.0||14.5|0.0|0.0|4.0|0.19999999999999996
indoors|Escoffier A.|FRA|Right-Handed|1.77|Vincent Ruggeri S.|ITA|Right-Handed|1.98|0.0|11.0|-14.5|0.0|2.0|10.0|-0.20999999999999996
hard|Nam J.|KOR|Right-Handed|2.32|Ilagan A.|ITA|Left-Handed|1.55|0.0|8.0|-14.5|2.0|0.0|8.0|0.7699999999999998
hard|Corwin F.|ITA|Right-Handed|4.52|Stricker D.|CHE|Left-Handed|1.18|1.0||-228.5|4.0|5.0|6.0|3.34
Varioussurfaces|Delvalle J.|PAN|Right-Handed|7.5|Egea F.|ARG|Right-Handed|1.07|1.0||14.5|0.0|0.0|5.0|6.43
indoors|Rodionov J.|AUT|Left-Handed|2.24|Bonzi B.|FRA|Right-Handed|1.6|1.0||-68.0|10.0|6.0|-3.0|0.6400000000000001
hard|Tomic B.|AUS|Right-Handed|2.45|Kudla D.|ITA|Right-Handed|1.51|0.0|0.0|-171.0|12.0|16.0|-1.0|0.9400000000000002
