url|Player|flag|height|weight|age|hand|year_pro
https://www.tennisexplorer.com/player/carballes-baena/|Carballes Baena R.|Spain|183.0|77.0|31.0|right|2009
https://www.tennisexplorer.com/player/darderi/|Darderi L.|Italy|||22.0|right|2019
https://www.tennisexplorer.com/player/oliveira-43505/|Oliveira G.|Venezuela|185.0|79.0|29.0|left|2010
https://www.tennisexplorer.com/player/bourgue/|Bourgue M.|France|188.0|83.0|30.0|right|2010
https://www.tennisexplorer.com/player/caruso-7cfdb/|Caruso S.|Italy|185.0|80.0|31.0|right|2008
https://www.tennisexplorer.com/player/lopez-montagud/|Lopez Montagud C.|Spain|||24.0|right|2015
https://www.tennisexplorer.com/player/mager/|Mager G.|Italy|188.0|77.0|29.0|right|2010
https://www.tennisexplorer.com/player/toledo-bague/|Toledo Bague P.|Spain|178.0|72.0|29.0|right|2010
https://www.tennisexplorer.com/player/rosol/|Rosol L.|CzechRepublic|193.0|83.0|39.0|right|2002
https://www.tennisexplorer.com/player/giannessi/|Giannessi A.|Italy|185.0|82.0|34.0|left|2006
https://www.tennisexplorer.com/player/gimeno-valero/|Gimeno Valero C.|Spain|188.0|80.0|23.0|right|2016
https://www.tennisexplorer.com/player/skatov/|Skatov T.|Kazakhstan|173.0|73.0|23.0|right|2016
https://www.tennisexplorer.com/player/nikles/|Nikles J.|Switzerland|170.0|68.0|27.0|right|2013
https://www.tennisexplorer.com/player/gaio/|Gaio F.|Italy|180.0|84.0|32.0|right|2008
https://www.tennisexplorer.com/player/martin-tiffon/|Martin Tiffon P.|Spain|183.0|73.0|25.0|right|2016
https://www.tennisexplorer.com/player/zekic/|Zekic M.|Serbia|185.0|79.0|36.0|right|2003
https://www.tennisexplorer.com/player/sanchez-izquierdo-99add/|Sanchez Izquierdo N.|Spain|185.0|77.0|25.0|right|2015
https://www.tennisexplorer.com/player/giustino-1d545/|Giustino L.|Italy|180.0|83.0|32.0|right|2006
https://www.tennisexplorer.com/player/ajdukovic/|Ajdukovic D.|Croatia|185.0|75.0|23.0|right|2015
https://www.tennisexplorer.com/player/damas/|Damas M.|Spain|||24.0|right|2015
https://www.tennisexplorer.com/player/barranco-cosano/|Barranco Cosano J.|Spain|175.0|72.0|25.0|left|2014
https://www.tennisexplorer.com/player/roca-batalla/|Roca Batalla O.|Spain|173.0|75.0|31.0|right|2008
https://www.tennisexplorer.com/player/bonadio/|Bonadio R.|Italy|180.0|81.0|31.0|right|2009
https://www.tennisexplorer.com/player/perchicot/|Perchicot M.|France|185.0|85.0|31.0|right|2014
https://www.tennisexplorer.com/player/blanch-d9f24/|Blanch U.|USA|188.0|78.0|26.0|right|2014
https://www.tennisexplorer.com/player/eysseric/|Eysseric J.|France|180.0|80.0|34.0|left|2004
https://www.tennisexplorer.com/player/peniston/|Peniston R.|GreatBritain|183.0|75.0|28.0|left|2012
